"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"20306"	"PGA_scaffold14__49_contigs__length_6382615"	4126497	4126497	"+"	2.74085500215983e-15	2.41140913655953e-13	30.4725415070243
"20327"	"PGA_scaffold14__49_contigs__length_6382615"	4127435	4127435	"+"	4.48307062883732e-17	5.49682574819271e-15	31.8291318936591
"20372"	"PGA_scaffold14__49_contigs__length_6382615"	4158012	4158012	"+"	5.46611811295676e-13	3.22872471677146e-11	-38.7296557683998
"20393"	"PGA_scaffold14__49_contigs__length_6382615"	4160212	4160212	"+"	2.61302762501208e-13	1.62681494397625e-11	-28.0738662926601
"20395"	"PGA_scaffold14__49_contigs__length_6382615"	4160266	4160266	"+"	1.88439989295031e-15	1.72445636347565e-13	-25.0669919775039
"20403"	"PGA_scaffold14__49_contigs__length_6382615"	4160396	4160396	"+"	1.93130434932789e-18	2.9618472882191e-16	35.6617647058823
"20446"	"PGA_scaffold14__49_contigs__length_6382615"	4163791	4163791	"+"	7.40003325265191e-14	5.11159865739429e-12	26.2965871337964
"20447"	"PGA_scaffold14__49_contigs__length_6382615"	4163801	4163801	"+"	1.48955635810698e-22	4.01609236263464e-20	29.3019833653231
"20449"	"PGA_scaffold14__49_contigs__length_6382615"	4163811	4163811	"+"	9.10859034978106e-15	7.39731147004464e-13	25.9182736455464
"20460"	"PGA_scaffold14__49_contigs__length_6382615"	4164505	4164505	"+"	1.37530407000817e-29	1.02939871632851e-26	-43.7554332077659
"20510"	"PGA_scaffold14__49_contigs__length_6382615"	4167434	4167434	"+"	4.00731329194449e-19	6.72112241402403e-17	31.901629575302
"20564"	"PGA_scaffold14__49_contigs__length_6382615"	4169999	4169999	"+"	1.6766803155271e-22	4.49643537574902e-20	-32.5514656809898
"20573"	"PGA_scaffold14__49_contigs__length_6382615"	4170103	4170103	"+"	4.48345342534152e-13	2.67984946184631e-11	-27.7619223790145
"20575"	"PGA_scaffold14__49_contigs__length_6382615"	4170113	4170113	"+"	8.71166099162079e-10	2.58355110094505e-08	-28.9037920185461
"20656"	"PGA_scaffold14__49_contigs__length_6382615"	4242345	4242345	"+"	6.18291878197606e-18	8.64896378277341e-16	32.6843267108168
"20728"	"PGA_scaffold14__49_contigs__length_6382615"	4270157	4270157	"+"	1.41205769967345e-14	1.10645095025399e-12	-37.435960591133
"20856"	"PGA_scaffold14__49_contigs__length_6382615"	4346032	4346032	"+"	6.63146700554406e-12	3.14625792637492e-10	27.4534161490683
"20858"	"PGA_scaffold14__49_contigs__length_6382615"	4346091	4346091	"+"	8.89270691474101e-21	1.86984364452971e-18	-27.3715922976446
"20867"	"PGA_scaffold14__49_contigs__length_6382615"	4346377	4346377	"+"	3.81180515333273e-37	6.95116657431102e-34	-36.3929463593517
"20881"	"PGA_scaffold14__49_contigs__length_6382615"	4355139	4355139	"+"	1.94606698567335e-11	8.25657642773985e-10	27.4463646851802
"21137"	"PGA_scaffold14__49_contigs__length_6382615"	5466872	5466872	"+"	6.22362253505663e-22	1.51141206778096e-19	-31.8251320544899
"21165"	"PGA_scaffold14__49_contigs__length_6382615"	5471898	5471898	"+"	6.71047087793606e-14	4.68040896346116e-12	-38.6116615624812
"21175"	"PGA_scaffold14__49_contigs__length_6382615"	5658000	5658000	"+"	1.10315720314471e-61	1.8440633953981e-57	-34.7145986341966
"21202"	"PGA_scaffold14__49_contigs__length_6382615"	5683871	5683871	"+"	1.56443684624932e-17	2.04574908036458e-15	-30.0911854103343
"21208"	"PGA_scaffold14__49_contigs__length_6382615"	5928944	5928944	"+"	3.50529631406171e-05	0.000289812975593756	-27.1255060728745
"21246"	"PGA_scaffold15__74_contigs__length_14466968"	517702	517702	"+"	2.97221981869727e-24	1.04232843375097e-21	35.5437244714171
"21315"	"PGA_scaffold15__74_contigs__length_14466968"	1408730	1408730	"+"	3.88960820421735e-08	7.68704641610359e-07	26.5499514344602
"21448"	"PGA_scaffold15__74_contigs__length_14466968"	3011687	3011687	"+"	1.0840696927643e-26	5.15719160535042e-24	-29.4383830455259
"21456"	"PGA_scaffold15__74_contigs__length_14466968"	3011793	3011793	"+"	7.89566074534024e-31	6.94661645562584e-28	34.7553160881961
"21778"	"PGA_scaffold15__74_contigs__length_14466968"	5252995	5252995	"+"	3.39581421627647e-09	8.74357324254272e-08	-26.5803638951911
"22033"	"PGA_scaffold15__74_contigs__length_14466968"	6722991	6722991	"+"	2.59205657946211e-06	3.10605192408481e-05	29.2547092547093
"22134"	"PGA_scaffold15__74_contigs__length_14466968"	6777610	6777610	"+"	2.89822228437463e-17	3.6518111991812e-15	26.8828098615333
"22172"	"PGA_scaffold15__74_contigs__length_14466968"	6813713	6813713	"+"	1.319844745505e-37	2.54571157135613e-34	33.2510580331934
"23073"	"PGA_scaffold15__74_contigs__length_14466968"	11441300	11441300	"+"	5.17486050008494e-09	1.27729296436088e-07	-29.9396809290264
"23393"	"PGA_scaffold15__74_contigs__length_14466968"	13850079	13850079	"+"	1.08398566040401e-15	1.04138838846307e-13	-27.6342705221112
"23394"	"PGA_scaffold15__74_contigs__length_14466968"	13850085	13850085	"+"	2.2339173540531e-15	2.00228875292523e-13	-28.6261516308071
"23406"	"PGA_scaffold15__74_contigs__length_14466968"	13850966	13850966	"+"	3.43448270274875e-06	3.96033225232662e-05	25.5280898876404
"23464"	"PGA_scaffold15__74_contigs__length_14466968"	14111233	14111233	"+"	2.01940650515095e-08	4.31765572732774e-07	-27.6809067131648
"23465"	"PGA_scaffold15__74_contigs__length_14466968"	14111264	14111264	"+"	4.22795857857858e-09	1.06453130554462e-07	-36.2871794871795
"23703"	"PGA_scaffold16__99_contigs__length_13714835"	636316	636316	"+"	8.60237930878893e-27	4.18833161768161e-24	-34.7793330065537
"24000"	"PGA_scaffold16__99_contigs__length_13714835"	1073512	1073512	"+"	2.59322317242023e-12	1.33449744633745e-10	-25.4241799188236
"24292"	"PGA_scaffold16__99_contigs__length_13714835"	2815780	2815780	"+"	2.30252814207141e-12	1.19718815645276e-10	30.8703703703704
"24791"	"PGA_scaffold16__99_contigs__length_13714835"	7116161	7116161	"+"	2.6248445496862e-21	5.90280480589974e-19	32.4517431686633
"25048"	"PGA_scaffold16__99_contigs__length_13714835"	9245025	9245025	"+"	1.60756660425285e-21	3.6811588408358e-19	-32.0933298936567
"25260"	"PGA_scaffold16__99_contigs__length_13714835"	10600068	10600068	"+"	2.15074504279818e-17	2.77267537976124e-15	26.2572971623014
"25290"	"PGA_scaffold16__99_contigs__length_13714835"	10883217	10883217	"+"	7.40282855314908e-26	3.24229033378616e-23	38.1942544459644
"25336"	"PGA_scaffold16__99_contigs__length_13714835"	10929818	10929818	"+"	3.01733175571243e-22	7.69832544584402e-20	-28.1644874591856
"25338"	"PGA_scaffold16__99_contigs__length_13714835"	10929930	10929930	"+"	6.08627826107321e-11	2.31577355786489e-09	-30.6675224646983
"25446"	"PGA_scaffold16__99_contigs__length_13714835"	11249192	11249192	"+"	4.65818894360373e-09	1.16133298178763e-07	34.1382097393413
"25550"	"PGA_scaffold16__99_contigs__length_13714835"	12725689	12725689	"+"	1.83307672368732e-29	1.34199150943596e-26	33.863006682033
"25678"	"PGA_scaffold16__99_contigs__length_13714835"	13014453	13014453	"+"	1.86244326574231e-06	2.33954940357421e-05	-30.2757619738752
"25679"	"PGA_scaffold16__99_contigs__length_13714835"	13014457	13014457	"+"	1.0711045511224e-05	0.000105410968525368	-27.1849630658963
"25683"	"PGA_scaffold17__171_contigs__length_27881435"	262081	262081	"+"	4.35237845055069e-21	9.4692464206427e-19	-33.1877268029182
"25697"	"PGA_scaffold17__171_contigs__length_27881435"	296508	296508	"+"	8.47598834347119e-22	2.01450148703053e-19	-51.2392683837253
"25718"	"PGA_scaffold17__171_contigs__length_27881435"	301752	301752	"+"	1.91516681353763e-18	2.94610827764043e-16	32.5139772508194
"25798"	"PGA_scaffold17__171_contigs__length_27881435"	490329	490329	"+"	2.79571974418448e-08	5.73539441125394e-07	-25.347021399653
"25943"	"PGA_scaffold17__171_contigs__length_27881435"	567649	567649	"+"	4.1168944983979e-23	1.22526359316774e-20	26.9343221276236
"26063"	"PGA_scaffold17__171_contigs__length_27881435"	863154	863154	"+"	5.15501793228702e-21	1.11429938877181e-18	25.5389547366254
"26161"	"PGA_scaffold17__171_contigs__length_27881435"	1732959	1732959	"+"	9.21010748846927e-14	6.26695978308379e-12	32.4785133565621
"26196"	"PGA_scaffold17__171_contigs__length_27881435"	2064201	2064201	"+"	4.9851161865109e-25	1.96076161704643e-22	38.1860075408463
"26200"	"PGA_scaffold17__171_contigs__length_27881435"	2065013	2065013	"+"	6.43526444334639e-51	4.03400198738223e-47	-41.5834612259637
"26215"	"PGA_scaffold17__171_contigs__length_27881435"	2073677	2073677	"+"	2.82236994469928e-15	2.480949857099e-13	-25.7784966204411
"26429"	"PGA_scaffold17__171_contigs__length_27881435"	4310842	4310842	"+"	4.48363658743158e-10	1.41325301816456e-08	-28.3456305422054
"26653"	"PGA_scaffold17__171_contigs__length_27881435"	5717829	5717829	"+"	2.08622867210224e-19	3.63901426167849e-17	28.1467044649185
"26654"	"PGA_scaffold17__171_contigs__length_27881435"	5717835	5717835	"+"	3.13853498623456e-16	3.29275012143631e-14	28.0893225368405
"26657"	"PGA_scaffold17__171_contigs__length_27881435"	5723914	5723914	"+"	3.97631547567722e-10	1.26849274763393e-08	34.2466564090425
"26870"	"PGA_scaffold17__171_contigs__length_27881435"	8173664	8173664	"+"	3.70751666082588e-17	4.62505343927092e-15	-28.3469721767594
"26873"	"PGA_scaffold17__171_contigs__length_27881435"	8173725	8173725	"+"	1.49190179535598e-26	6.86393931914781e-24	-32.8538283062645
"26932"	"PGA_scaffold17__171_contigs__length_27881435"	8990718	8990718	"+"	2.79300671352063e-11	1.14666935257282e-09	28.3986024925692
"27264"	"PGA_scaffold17__171_contigs__length_27881435"	10922850	10922850	"+"	1.25629005338136e-09	3.57236568895922e-08	29.713095350819
"27338"	"PGA_scaffold17__171_contigs__length_27881435"	11473690	11473690	"+"	1.2039130206021e-16	1.36543378923481e-14	27.4483043837883
"27341"	"PGA_scaffold17__171_contigs__length_27881435"	11473720	11473720	"+"	2.34893150020824e-20	4.59243141792627e-18	-29.0230622028448
"27416"	"PGA_scaffold17__171_contigs__length_27881435"	12211410	12211410	"+"	5.51881442193458e-15	4.60501464143743e-13	26.6744480108939
"27528"	"PGA_scaffold17__171_contigs__length_27881435"	14111265	14111265	"+"	6.32220557386538e-09	1.53090489345357e-07	26.3104093261995
"28132"	"PGA_scaffold17__171_contigs__length_27881435"	18722782	18722782	"+"	2.95300782477831e-31	2.7680282143576e-28	32.4875669548419
"28332"	"PGA_scaffold17__171_contigs__length_27881435"	22231666	22231666	"+"	3.34848518158125e-24	1.16612628882069e-21	-26.4278783347265
"28333"	"PGA_scaffold17__171_contigs__length_27881435"	22231699	22231699	"+"	6.10351028411303e-31	5.46576997348611e-28	-38.0769890373732
"28638"	"PGA_scaffold17__171_contigs__length_27881435"	23815425	23815425	"+"	6.82056593338013e-22	1.64443523366452e-19	-26.0287355147254
"28653"	"PGA_scaffold17__171_contigs__length_27881435"	24632376	24632376	"+"	9.36272500660611e-13	5.24612856372494e-11	28.8358543417367
"29155"	"PGA_scaffold17__171_contigs__length_27881435"	27023299	27023299	"+"	1.60843620999247e-09	4.46010440770888e-08	25.1196442095425
"29169"	"PGA_scaffold17__171_contigs__length_27881435"	27023820	27023820	"+"	8.19999282777472e-12	3.78132410931372e-10	27.9019929019929
"29171"	"PGA_scaffold17__171_contigs__length_27881435"	27023978	27023978	"+"	1.49798509921748e-11	6.50970609803815e-10	35.328805186786
"29172"	"PGA_scaffold17__171_contigs__length_27881435"	27023984	27023984	"+"	4.37791885182078e-12	2.15983224760044e-10	27.987012987013
"29289"	"PGA_scaffold17__171_contigs__length_27881435"	27674315	27674315	"+"	1.50778299150623e-06	1.94330347649271e-05	25.1420454545455
"29338"	"PGA_scaffold18__98_contigs__length_15388888"	593084	593084	"+"	8.07697315534773e-07	1.12357758666492e-05	26.2823790047716
"29706"	"PGA_scaffold18__98_contigs__length_15388888"	913504	913504	"+"	8.6080776276444e-08	1.56438871244715e-06	27.2375993422856
"29893"	"PGA_scaffold18__98_contigs__length_15388888"	1163368	1163368	"+"	4.57937652500491e-11	1.79765001010394e-09	36.001406717074
"29949"	"PGA_scaffold18__98_contigs__length_15388888"	2160314	2160314	"+"	2.29103872718963e-27	1.24883280920191e-24	-25.9314604502889
"30077"	"PGA_scaffold18__98_contigs__length_15388888"	2621252	2621252	"+"	4.47186766112654e-15	3.79455767870748e-13	26.7388085619756
"30225"	"PGA_scaffold18__98_contigs__length_15388888"	2953738	2953738	"+"	3.87318946562519e-07	5.89664312020105e-06	28.0183562786817
"30298"	"PGA_scaffold18__98_contigs__length_15388888"	3232217	3232217	"+"	1.52614841314321e-21	3.51882124180794e-19	35.9788189987163
"30441"	"PGA_scaffold18__98_contigs__length_15388888"	3501035	3501035	"+"	3.26046038952407e-20	6.27669314867231e-18	-30.5454905454905
"30783"	"PGA_scaffold18__98_contigs__length_15388888"	5774745	5774745	"+"	1.31570440452476e-20	2.69860401346338e-18	25.2978470544326
"31194"	"PGA_scaffold18__98_contigs__length_15388888"	9057641	9057641	"+"	4.27316572352235e-21	9.33048515414894e-19	-31.423471150524
"31195"	"PGA_scaffold18__98_contigs__length_15388888"	9057655	9057655	"+"	4.80895462618041e-21	1.04174009752481e-18	-28.0351659284628
"31196"	"PGA_scaffold18__98_contigs__length_15388888"	9057685	9057685	"+"	4.22968688106512e-22	1.05529008476265e-19	-27.4728920902244
"31229"	"PGA_scaffold18__98_contigs__length_15388888"	9060597	9060597	"+"	1.8665227331979e-10	6.38279525135182e-09	-26.3543715358484
"31513"	"PGA_scaffold18__98_contigs__length_15388888"	9786759	9786759	"+"	4.99084711097688e-07	7.34295157977894e-06	-28.0379911527453
"31598"	"PGA_scaffold18__98_contigs__length_15388888"	9803991	9803991	"+"	1.66950681005655e-12	8.91048580845204e-11	25.6749016057207
"31611"	"PGA_scaffold18__98_contigs__length_15388888"	9804174	9804174	"+"	9.16205700069076e-14	6.24697846933712e-12	-26.2100169245031
"31623"	"PGA_scaffold18__98_contigs__length_15388888"	9805555	9805555	"+"	1.26635040000437e-13	8.38914516023547e-12	-32.5433049983948
"31747"	"PGA_scaffold18__98_contigs__length_15388888"	9989659	9989659	"+"	8.45986862214259e-09	1.981557359467e-07	29.9581177629958
"32113"	"PGA_scaffold18__98_contigs__length_15388888"	10726466	10726466	"+"	2.45166986038588e-14	1.8474539636424e-12	27.5178704790355
"32398"	"PGA_scaffold18__98_contigs__length_15388888"	10782227	10782227	"+"	1.07676716858328e-37	2.11758728950664e-34	37.6509318360554
"32548"	"PGA_scaffold18__98_contigs__length_15388888"	10913080	10913080	"+"	6.89193544992028e-14	4.80030023917387e-12	26.3035050241317
"32595"	"PGA_scaffold18__98_contigs__length_15388888"	11098599	11098599	"+"	2.96775969099793e-14	2.20324643096109e-12	26.6107784431138
"32612"	"PGA_scaffold18__98_contigs__length_15388888"	11117262	11117262	"+"	7.39705613220846e-22	1.77065758377484e-19	-29.5649815167611
"32775"	"PGA_scaffold18__98_contigs__length_15388888"	11374553	11374553	"+"	6.87001116755353e-10	2.08548512661684e-08	35.0836197021764
"33391"	"PGA_scaffold18__98_contigs__length_15388888"	15247099	15247099	"+"	2.85540895585045e-12	1.45671467825798e-10	-28.8945270025372
"34009"	"PGA_scaffold19__65_contigs__length_13296201"	2162470	2162470	"+"	1.10348811620272e-12	6.08115348596527e-11	-26.2602496795603
"34233"	"PGA_scaffold19__65_contigs__length_13296201"	2945572	2945572	"+"	1.35092274219547e-08	3.0043025299634e-07	25.107102998884
"34270"	"PGA_scaffold19__65_contigs__length_13296201"	4040579	4040579	"+"	1.58010092824088e-13	1.02245174983479e-11	36.3805047006433
"34271"	"PGA_scaffold19__65_contigs__length_13296201"	4040588	4040588	"+"	8.01509918825396e-08	1.46508773775874e-06	26.9504900089092
"34272"	"PGA_scaffold19__65_contigs__length_13296201"	4042043	4042043	"+"	5.70659021014181e-24	1.91423472909567e-21	-39.4698934024777
"34335"	"PGA_scaffold19__65_contigs__length_13296201"	4679403	4679403	"+"	6.14433883568158e-13	3.58917434341002e-11	-33.9470899470899
"34499"	"PGA_scaffold19__65_contigs__length_13296201"	5235501	5235501	"+"	4.10171168508542e-30	3.26500820743061e-27	-46.7060810810811
"34575"	"PGA_scaffold19__65_contigs__length_13296201"	5259712	5259712	"+"	1.56045375994513e-07	2.63572686506541e-06	25.3712049750201
"34757"	"PGA_scaffold19__65_contigs__length_13296201"	5427702	5427702	"+"	2.85528860005967e-21	6.37812994147313e-19	-26.2912950321391
"34789"	"PGA_scaffold19__65_contigs__length_13296201"	5431379	5431379	"+"	1.00406502836292e-19	1.83100210604646e-17	31.3967848283416
"34835"	"PGA_scaffold19__65_contigs__length_13296201"	5537475	5537475	"+"	5.23388573829176e-16	5.28243418421612e-14	-28.3516347167938
"34923"	"PGA_scaffold19__65_contigs__length_13296201"	5859591	5859591	"+"	1.63114844503978e-16	1.79780169936298e-14	-26.9978530890998
"34924"	"PGA_scaffold19__65_contigs__length_13296201"	5859594	5859594	"+"	1.68992000097576e-32	1.80313392695559e-29	-38.3727146370149
"35068"	"PGA_scaffold19__65_contigs__length_13296201"	7090580	7090580	"+"	2.66700426409846e-29	1.93835945111422e-26	-37.6439039387832
"35223"	"PGA_scaffold19__65_contigs__length_13296201"	7233721	7233721	"+"	8.94512181633361e-19	1.43547599520551e-16	-29.4227365965491
"35494"	"PGA_scaffold19__65_contigs__length_13296201"	8243911	8243911	"+"	1.17380299687901e-13	7.82775222352463e-12	31.2277126846663
"36140"	"PGA_scaffold19__65_contigs__length_13296201"	12216824	12216824	"+"	1.07614442740409e-12	5.95664969322169e-11	32.0691434468524
"36141"	"PGA_scaffold19__65_contigs__length_13296201"	12216832	12216832	"+"	4.80824467886839e-11	1.8730287831925e-09	30.2931659966663
"36279"	"PGA_scaffold19__65_contigs__length_13296201"	12317752	12317752	"+"	4.08386046617133e-60	4.55111781355798e-56	41.2473243386362
"36343"	"PGA_scaffold19__65_contigs__length_13296201"	12391131	12391131	"+"	4.54317935933808e-14	3.2617687604263e-12	25.6544429947534
"36418"	"PGA_scaffold19__65_contigs__length_13296201"	12400176	12400176	"+"	1.36141588753243e-14	1.0692754842511e-12	35.6767888870942
"36465"	"PGA_scaffold19__65_contigs__length_13296201"	12520060	12520060	"+"	5.51391144868224e-08	1.04780410081753e-06	25.3471017007983
"36614"	"PGA_scaffold19__65_contigs__length_13296201"	12554110	12554110	"+"	1.45008909386248e-06	1.8773741027715e-05	-25.1779935275081
"36650"	"PGA_scaffold19__65_contigs__length_13296201"	12557443	12557443	"+"	2.04712832399954e-13	1.29704141904445e-11	30.8026507866627
"36652"	"PGA_scaffold19__65_contigs__length_13296201"	12557476	12557476	"+"	2.20982807162104e-11	9.28918771832363e-10	27.4275437504323
"36787"	"PGA_scaffold19__65_contigs__length_13296201"	13031505	13031505	"+"	5.34452375104179e-18	7.60343061080529e-16	27.345497190858
"36828"	"PGA_scaffold1__111_contigs__length_23635802"	173264	173264	"+"	6.19072488632012e-42	1.8262165741948e-38	-38.0286183011301
"36935"	"PGA_scaffold1__111_contigs__length_23635802"	1194482	1194482	"+"	2.0062310192898e-16	2.1824269321052e-14	25.120078071962
"37193"	"PGA_scaffold1__111_contigs__length_23635802"	3009810	3009810	"+"	1.05635408003458e-09	3.06655779956462e-08	26.1821219715957
"37212"	"PGA_scaffold1__111_contigs__length_23635802"	4593647	4593647	"+"	1.13321384687882e-18	1.80124258422481e-16	27.6000543673005
"37286"	"PGA_scaffold1__111_contigs__length_23635802"	5899016	5899016	"+"	1.00219648676158e-22	2.76908280883193e-20	27.7302165553532
"37357"	"PGA_scaffold1__111_contigs__length_23635802"	8987848	8987848	"+"	6.32011487783603e-10	1.93318424972274e-08	29.3246659443843
